Size,U \%,O \%,D,FO,Instance,$ZMIN$,$ZMIN$,$\tau$,$ZMIN$,\%diff GRH
9,50,0,Chebyshev,Equal,1,16,16,0,11,31.25
9,50,0,Chebyshev,Equal,2,15,15,0,10,33.33
9,50,0,Chebyshev,Equal,3,14,14,0,11,21.43
9,50,0,Chebyshev,Equal,4,14,14,0,10,28.57
9,50,0,Chebyshev,Equal,5,14,14,0,12,14.29
9,50,0,Chebyshev,Random,1,12,12,0,12,0
9,50,0,Chebyshev,Random,2,11,11,0,11,0
9,50,0,Chebyshev,Random,3,12,12,0,12,0
9,50,0,Chebyshev,Random,4,11,11,0,11,0
9,50,0,Chebyshev,Random,5,11,11,0,11,0
9,50,0,Euclidean,Equal,1,17,15.83,1,13,17.87
9,50,0,Euclidean,Equal,2,19.36,16.89,1,12.24,27.54
9,50,0,Euclidean,Equal,3,15.13,15.13,0,10.48,30.74
9,50,0,Euclidean,Equal,4,14.89,14.89,0,10.24,31.27
9,50,0,Euclidean,Equal,5,16.06,16.06,0,13.24,17.61
9,50,0,Euclidean,Random,1,15.3,15.3,0,15.3,0
9,50,0,Euclidean,Random,2,11.71,11.71,0,11.71,0
9,50,0,Euclidean,Random,3,16.71,15.47,1,14.89,3.79
9,50,0,Euclidean,Random,4,13.48,13.48,0,13.48,0
9,50,0,Euclidean,Random,5,13.48,13.48,0,13.48,0
9,50,50,Chebyshev,Equal,1,8,8,0,8,0
9,50,50,Chebyshev,Equal,2,8,8,0,8,0
9,50,50,Chebyshev,Equal,3,8,8,0,8,0
9,50,50,Chebyshev,Equal,4,7,7,0,7,0
9,50,50,Chebyshev,Equal,5,10,10,0,10,0
9,50,50,Chebyshev,Random,1,10,10,0,10,0
9,50,50,Chebyshev,Random,2,6,6,0,6,0
9,50,50,Chebyshev,Random,3,4,4,0,4,0
9,50,50,Chebyshev,Random,4,8,8,0,8,0
9,50,50,Chebyshev,Random,5,10,10,0,10,0
9,50,50,Euclidean,Equal,1,8.89,8.89,0,8.89,0
9,50,50,Euclidean,Equal,2,9.3,9.3,0,9.3,0
9,50,50,Euclidean,Equal,3,6.83,6.83,0,5.83,14.64
9,50,50,Euclidean,Equal,4,7.83,7.83,0,7.83,0
9,50,50,Euclidean,Equal,5,7.83,7.83,0,7.83,0
9,50,50,Euclidean,Random,1,5.24,5.24,0,5.24,0
9,50,50,Euclidean,Random,2,11.89,10.24,1,10.24,0
9,50,50,Euclidean,Random,3,9.06,9.06,0,9.06,0
9,50,50,Euclidean,Random,4,16.96,16.13,1,15.72,2.53
9,50,50,Euclidean,Random,5,8.06,8.06,0,8.06,0
9,50,85,Chebyshev,Equal,1,8,8,0,8,0
9,50,85,Chebyshev,Equal,2,8,8,0,8,0
9,50,85,Chebyshev,Equal,3,8,8,0,8,0
9,50,85,Chebyshev,Equal,4,7,7,0,7,0
9,50,85,Chebyshev,Equal,5,5,5,0,5,0
9,50,85,Chebyshev,Random,1,3,3,0,3,0
9,50,85,Chebyshev,Random,2,10,10,0,10,0
9,50,85,Chebyshev,Random,3,4,4,0,4,0
9,50,85,Chebyshev,Random,4,4,4,0,4,0
9,50,85,Chebyshev,Random,5,3,3,0,3,0
9,50,85,Euclidean,Equal,1,6,6,0,6,0
9,50,85,Euclidean,Equal,2,8,8,0,8,0
9,50,85,Euclidean,Equal,3,6.83,6.83,0,5.83,14.64
9,50,85,Euclidean,Equal,4,8.06,8.06,0,8.06,0
9,50,85,Euclidean,Equal,5,7.83,7.83,0,7.83,0
9,50,85,Euclidean,Random,1,2.41,2.41,0,2.41,0
9,50,85,Euclidean,Random,2,3,3,0,3,0
9,50,85,Euclidean,Random,3,9.24,9.24,0,9.24,0
9,50,85,Euclidean,Random,4,2.41,2.41,0,2.41,0
9,50,85,Euclidean,Random,5,2.41,2.41,0,2.41,0
9,80,0,Chebyshev,Equal,1,22,22,0,18,18.18
9,80,0,Chebyshev,Equal,2,25,25,0,18,28
9,80,0,Chebyshev,Equal,3,24,21,2,19,9.52
9,80,0,Chebyshev,Equal,4,21,20,2,18,10
9,80,0,Chebyshev,Equal,5,27,23,1,19,17.39
9,80,0,Chebyshev,Random,1,18,18,0,18,0
9,80,0,Chebyshev,Random,2,23,20,1,20,0
9,80,0,Chebyshev,Random,3,20,19,1,19,0
9,80,0,Chebyshev,Random,4,23,23,0,21,8.7
9,80,0,Chebyshev,Random,5,19,19,0,19,0
9,80,0,Euclidean,Equal,1,30.25,24.95,2,20.89,16.29
9,80,0,Euclidean,Equal,2,25.19,24.19,3,21.71,10.22
9,80,0,Euclidean,Equal,3,28.6,24.71,1,20.06,18.82
9,80,0,Euclidean,Equal,4,30.25,26.37,1,21.71,17.64
9,80,0,Euclidean,Equal,5,33.02,25.71,1,19.65,23.58
9,80,0,Euclidean,Random,1,23.95,23.95,0,23.95,0
9,80,0,Euclidean,Random,2,26.02,26.02,0,21.96,15.6
9,80,0,Euclidean,Random,3,28.67,26.19,2,18.89,27.87
9,80,0,Euclidean,Random,4,18.48,18.48,0,18.48,0
9,80,0,Euclidean,Random,5,23.95,23.95,0,23.95,0
9,80,50,Chebyshev,Equal,1,12,11,2,12,-9.09
9,80,50,Chebyshev,Equal,2,16,16,0,16,0
9,80,50,Chebyshev,Equal,3,21,20,1,18,10
9,80,50,Chebyshev,Equal,4,12,12,0,12,0
9,80,50,Chebyshev,Equal,5,12,12,0,12,0
9,80,50,Chebyshev,Random,1,18,16,2,15,6.25
9,80,50,Chebyshev,Random,2,19,17,1,16,5.88
9,80,50,Chebyshev,Random,3,14,13,1,13,0
9,80,50,Chebyshev,Random,4,10,10,0,10,0
9,80,50,Chebyshev,Random,5,17,16,2,17,-6.25
9,80,50,Euclidean,Equal,1,20.37,18.71,2,16.47,11.98
9,80,50,Euclidean,Equal,2,20.37,17.54,1,17.54,0
9,80,50,Euclidean,Equal,3,17.89,17.89,0,16.72,6.55
9,80,50,Euclidean,Equal,4,17.54,15.66,2,15.66,0
9,80,50,Euclidean,Equal,5,21.01,21.01,0,15.24,27.48
9,80,50,Euclidean,Random,1,12.3,12.3,0,12.3,0
9,80,50,Euclidean,Random,2,19.06,17.47,2,16.65,4.7
9,80,50,Euclidean,Random,3,11.48,11.48,0,11.48,0
9,80,50,Euclidean,Random,4,14.95,14.95,0,14.95,0
9,80,50,Euclidean,Random,5,13.89,13.89,0,13.89,0
9,80,85,Chebyshev,Equal,1,6,6,0,6,0
9,80,85,Chebyshev,Equal,2,10,8,2,10,-25
9,80,85,Chebyshev,Equal,3,8,8,2,8,0
9,80,85,Chebyshev,Equal,4,8,8,2,8,0
9,80,85,Chebyshev,Equal,5,10,10,0,10,0
9,80,85,Chebyshev,Random,1,9,9,0,9,0
9,80,85,Chebyshev,Random,2,6,6,0,6,0
9,80,85,Chebyshev,Random,3,10,10,0,10,0
9,80,85,Chebyshev,Random,4,11,11,0,11,0
9,80,85,Chebyshev,Random,5,8,8,0,8,0
9,80,85,Euclidean,Equal,1,9.24,9.24,0,9.24,0
9,80,85,Euclidean,Equal,2,9.3,9.3,0,9.3,0
9,80,85,Euclidean,Equal,3,10.89,10.89,0,10.89,0
9,80,85,Euclidean,Equal,4,7.06,7.06,0,7.06,0
9,80,85,Euclidean,Equal,5,8.06,8.06,0,8.06,0
