Size,U \%,O \%,D,FO,Instance,RT,,SD,RT,,SD,RT,,SD,gen,conv
9,50,0,Chebyshev,Equal,1,0,$\pm$,0,0.12,$\pm$,1.32,10.7,$\pm$,7.39,2.56,100
9,50,0,Chebyshev,Equal,2,0,$\pm$,0,0.35,$\pm$,2.26,16.9,$\pm$,8.84,3.89,100
9,50,0,Chebyshev,Equal,3,0,$\pm$,0,0,$\pm$,0,7.5,$\pm$,7.91,2.56,100
9,50,0,Chebyshev,Equal,4,3,$\pm$,6,0.01,$\pm$,0.09,2737.8,$\pm$,2137,844.67,100
9,50,0,Chebyshev,Equal,5,0,$\pm$,0,0.12,$\pm$,1.32,9.1,$\pm$,7.84,2.44,100
9,50,0,Chebyshev,Random,1,0,$\pm$,0,0,$\pm$,0,0,$\pm$,0,1,100
9,50,0,Chebyshev,Random,2,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,50,0,Chebyshev,Random,3,0,$\pm$,0,0,$\pm$,0,1.5,$\pm$,4.74,1,100
9,50,0,Chebyshev,Random,4,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,50,0,Chebyshev,Random,5,0,$\pm$,0,0,$\pm$,0,1.5,$\pm$,4.74,1,100
9,50,0,Euclidean,Equal,1,0,$\pm$,0,0,$\pm$,0,3050.1,$\pm$,3905.8,964.44,90
9,50,0,Euclidean,Equal,2,0,$\pm$,0,0.01,$\pm$,0.09,957.5,$\pm$,553.52,266.67,100
9,50,0,Euclidean,Equal,3,0,$\pm$,0,0,$\pm$,0,7.6,$\pm$,8.02,2.22,100
9,50,0,Euclidean,Equal,4,0,$\pm$,0,0,$\pm$,0,6,$\pm$,7.75,2.33,100
9,50,0,Euclidean,Equal,5,0,$\pm$,0,0.12,$\pm$,1.32,52.9,$\pm$,23.5,15.78,100
9,50,0,Euclidean,Random,1,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,50,0,Euclidean,Random,2,0,$\pm$,0,0,$\pm$,0,0,$\pm$,0,1,100
9,50,0,Euclidean,Random,3,0,$\pm$,0,0.23,$\pm$,1.85,374.4,$\pm$,274.46,179.44,100
9,50,0,Euclidean,Random,4,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,50,0,Euclidean,Random,5,0,$\pm$,0,0.12,$\pm$,1.32,3,$\pm$,6.32,1,100
9,50,50,Chebyshev,Equal,1,0,$\pm$,0,0.12,$\pm$,1.32,1.5,$\pm$,4.74,1,100
9,50,50,Chebyshev,Equal,2,0,$\pm$,0,0,$\pm$,0,6,$\pm$,7.75,1,100
9,50,50,Chebyshev,Equal,3,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,50,50,Chebyshev,Equal,4,0,$\pm$,0,0,$\pm$,0,7.5,$\pm$,7.91,1,100
9,50,50,Chebyshev,Equal,5,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,50,50,Chebyshev,Random,1,0,$\pm$,0,0.35,$\pm$,2.26,3,$\pm$,6.32,1,100
9,50,50,Chebyshev,Random,2,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,50,50,Chebyshev,Random,3,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,50,50,Chebyshev,Random,4,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
