Scenario,Fitness,Time (ms),Best Generation,Seed,p,pe,pm,rhoe,K,MAX_GENS,X_INTVL,X_NUMBER
C:/TunningBRKGA/Instances/scenario_I400U50O85SrandomDrandomUDequalR0.csv,11761.3,554836,50,297909770,30,0.2,0.3,0.5,3,3000,100,2
C:/TunningBRKGA/Instances/scenario_I400U50O85SrandomDrandomUDequalR0.csv,11603.2,431496,430,297909770,89,0.2098,0.5236,0.4346,3,765,202,2
C:/TunningBRKGA/Instances/scenario_I400U50O85SrandomDrandomUDequalR0.csv,11761.3,353976,13,297909770,88,0.151,0.1858,0.4809,2,1024,291,5
C:/TunningBRKGA/Instances/scenario_I400U50O85SrandomDrandomUDequalR0.csv,12928.8,47812,761,297909770,21,0.3493,0.0379,0.0041,1,1618,220,5
C:/TunningBRKGA/Instances/scenario_I400U50O85SrandomDrandomUDequalR0.csv,11761.3,922689,216,297909770,57,0.6655,0.156,0.3732,4,1853,117,3
C:/TunningBRKGA/Instances/scenario_I400U50O85SrandomDrandomUDequalR0.csv,12082.1,705591,5,297909770,87,0.3987,0.0104,0.9806,4,1414,172,4
C:/TunningBRKGA/Instances/scenario_I400U50O85SrandomDrandomUDequalR0.csv,12082.1,41795,94,297909770,17,0.3813,0.2144,0.1059,1,1436,42,2
C:/TunningBRKGA/Instances/scenario_I400U50O85SrandomDrandomUDequalR0.csv,11761.3,3861524,110,297909770,86,0.4555,0.1348,0.8949,4,1741,78,5
C:/TunningBRKGA/Instances/scenario_I400U50O85SrandomDrandomUDequalR0.csv,11871.5,434201,274,297909770,78,0.3045,0.2667,0.7065,1,1557,190,4
C:/TunningBRKGA/Instances/scenario_I400U50O85SrandomDrandomUDequalR0.csv,12082.1,57281,256,297909770,59,0.5681,0.0794,0.9747,1,521,218,4
C:/TunningBRKGA/Instances/scenario_I400U50O85SrandomDrandomUDequalR0.csv,11921.1,55665,85,297909770,19,0.3296,0.637,0.7911,1,528,106,4
C:/TunningBRKGA/Instances/scenario_I400U50O85SrandomDrandomUDequalR0.csv,11986.6,375719,849,297909770,49,0.6424,0.3528,0.3543,3,1017,192,2
C:/TunningBRKGA/Instances/scenario_I400U50O85SrandomDrandomUDequalR0.csv,11572.3,843616,2008,297909770,81,0.3797,0.3891,0.6503,2,2190,189,4
